product_id,name,price,gender,season,category,subcategory,price_normalized,category_encoded,subcategory_encoded,gender_encoded,season_encoded,price_tier
40015,Unisex Dirty Denim,950.0,Unisex,All Season,Starnine,Denim,0.23387096774193547,8,1,1,0,2
40016,Unisex Dark Denim,950.0,Unisex,All Season,Starnine,Denim,0.23387096774193547,8,1,1,0,2
40017,STRAIGHT FIT BLUE DENIM,980.0,Men,All Season,KNTD,Denim,0.24193548387096775,5,1,0,0,2
40018,Brown leather jackets,1649.0,Men,Winter,Starnine,Jackets,0.4217741935483871,8,4,0,2,2
40019,Black Fur Jackets,1250.0,Men,Winter,Starnine,Jackets,0.31451612903225806,8,4,0,2,2
40020,Grey mohair knit polo,890.0,Men,Winter,Starnine,Knitwear,0.21774193548387097,8,5,0,2,1
40021,Vintage Leather jacket,1649.0,Men,Winter,Starnine,Jackets,0.4217741935483871,8,4,0,2,2
40022,Polo Stitched 3D Puff Embroidery,700.0,Men,Summer,Starnine,Polo,0.16666666666666666,8,7,0,1,1
40023,Basic Polo Regular Fit,700.0,Men,Summer,Starnine,Polo,0.16666666666666666,8,7,0,1,1
40024,Basic Polo Regular Fit,700.0,Men,Summer,Starnine,Polo,0.16666666666666666,8,7,0,1,1
40025,Crime Life Stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40026,Crime Life Stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40027,3D ???Chaos??? stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40028,3D ???Chaos??? stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40029,Self Love Puff Printed T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40030,Self Love Puff Printed T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40031,3D ???Rich??? stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40032,3D ???Rich??? stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40033,3D ???Chaotic??? stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40034,3D ???Chaotic??? stitched T-Shirt,650.0,Men,Summer,Starnine,T-Shirts,0.1532258064516129,8,13,0,1,1
40035,Black line zip up,990.0,Men,Winter,Starnine,Sweatshirts,0.2446236559139785,8,12,0,2,2
